"CRN","Title","Days","Time","Students","Date","Location"
"40136","Materials and Methods of Arch.","MW","03:15 pm-06:00 pm","12","08/23-12/07","FR XARTS 024"
"40137","Materials and Methods of Arch.","MW","03:15 pm-06:00 pm","12","08/23-12/07","FR XARTS 026"
"40138","Materials and Methods of Arch.","MW","09:00 am-11:45 am","12","08/23-12/07","FR XARTS 024"
"40139","CADD 1","F","01:30 pm-04:30 pm","17","08/23-12/02","CO G25"
"40140","CADD 1","F","05:00 pm-08:00 pm","15","08/23-12/02","CO G25"
"40141","BIM &amp; Applications","M","05:10 pm-08:10 pm","14","08/23-12/05","CO G25"
"40143","CADD 2: GIS for Architecture","T","06:30 pm-09:30 pm","8","10/18-12/13","HR G24"
"40144","Sustainable Design","MW","04:45 pm-06:25 pm","18","08/23-12/07","HR G56"
"40145","Architecture Studio V","MW","09:00 am-11:45 am","12","08/23-12/07","FR XARTS 028"
"40146","Architecture Studio V","MW","09:00 am-11:45 am","9","08/23-12/07","KO M205"
"40147","Architecture Studio V","MW","12:00 pm-02:45 pm","10","08/23-12/07","FR XARTS 028"
"40148","Community Design Outreach","TR","12:45 pm-03:30 pm","12","08/23-12/06","KO M205"
"42329","Community Design Outreach","TR","09:00 am-11:45 am","13","08/23-12/06","KO M205"
"40149","Intro Arch Theory &amp; Writn Word","MW","11:45 am-01:30 pm","24","08/23-12/07","KO M205"
"40150","Portfolio Lab","W","03:05 pm-04:50 pm","9","08/23-12/07","CO G25"
"40151","Thesis Preparation Seminar","M","01:45 pm-03:30 pm","8","08/23-12/05","KO M205"
"40152","Art Appreciation","MWF","10:30 am-11:35 am","40","08/23-12/07","LM 351"
"40153","Art Appreciation","TR","06:30 pm-08:15 pm","38","08/23-12/06","LM 351"
"40154","Art Appreciation","MW","06:30 pm-08:15 pm","38","08/23-12/07","LM 351"
"40155","Survey of Western Art History I","TR","09:55 am-11:40 am","40","08/23-12/06","LM 351"
"40156","Survey of Western Art History I","TR","12:45 pm-02:30 pm","38","08/23-12/06","LM 351"
"41472","Drawing for Non-Majors","M","03:00 pm-08:00 pm","12","08/23-12/05","FR XARTS 001"
"41474","Drawing for Non-Majors","MW","06:45 pm-09:30 pm","14","08/23-12/07","FR XARTS 008"
"42603","Drawing for Non-Majors","W","03:00 pm-08:00 pm","12","08/23-12/07","FR XARTS 001"
"42604","Drawing for Non-Majors","MW","08:45 am-11:30 am","13","08/23-12/07","FR XARTS 001"
"41483","Art + Architecture Fabrication Lab","F","02:30 pm-07:00 pm","7","09/02-09/17","FR XARTS 001"
"41484","Art + Architecture Fabrication Lab","S","09:30 am-02:00 pm","8","09/02-09/17","FR XARTS 001"
"41485","Art + Architecture Fabrication Lab","F","02:30 pm-07:00 pm","7","09/23-10/08","FR XARTS 001"
"41486","Art + Architecture Fabrication Lab","S","09:30 am-02:00 pm","4","09/23-10/08","FR XARTS 001"
"41487","Art + Architecture Fabrication Lab","F","02:30 pm-07:00 pm","6","10/14-10/29","FR XARTS 001"
"41488","Art + Architecture Fabrication Lab","S","09:30 am-02:00 pm","2","10/14-10/29","FR XARTS 001"
"42055","PaintingNonMajors","TR","07:00 pm-09:45 pm","14","08/23-12/06","FR XARTS 008"
"40157","History of Western Design","TR","12:45 pm-02:30 pm","37","08/23-12/06","LM 245"
"41490","Art Fundamentals","TR","08:45 am-11:30 am","14","08/23-12/06","FR XARTS 008"
"42626","Art Fundamentals","TR","04:00 pm-06:45 pm","9","08/23-12/06","FR XARTS 001"
"41491","Drawing I","F","09:00 am-01:00 pm","8","08/23-12/02","FR XARTS 008"
"40158","Design Fundamentals","MW","11:45 am-02:15 pm","15","08/23-12/07","FR XARTS 006"
"40159","Design Fundamentals","MW","02:30 pm-05:00 pm","15","08/23-12/07","FR XARTS 006"
"40160","Design Fundamentals","TR","09:00 am-11:30 am","12","08/23-12/06","FR XARTS 006"
"40161","Design Fundamentals","TR","01:00 pm-03:30 pm","15","08/23-12/06","FR XARTS 006"
"40162","Visual Communication I","MW","02:30 pm-05:00 pm","7","08/23-12/07","FR XARTS 005"
"42057","Visual Communication I","TR","03:45 pm-06:15 pm","12","08/23-12/06","CO G25"
"40163","FYS: Sacred Art in the City","W","11:45 am-03:25 pm","18","08/23-12/07","LM 357"
"40164","FYS: Art in Multicultural SF","F","11:45 am-03:25 pm","20","08/23-12/02","LM 357"
"40165","FYS: Exploring Asian Art in SF","W","11:45 am-03:25 pm","18","08/23-12/07","LM 351"
"40166","Methods/Theory in Art History","T","04:35 pm-06:20 pm","12","08/23-12/06","LM 357"
"40167","Typography","MW","08:45 am-11:15 am","11","08/23-12/07","FR XARTS 005"
"40168","Typography","MW","11:45 am-02:15 pm","12","08/23-12/07","FR XARTS 005"
"40169","Typography","TR","09:00 am-11:30 am","9","08/23-12/06","FR XARTS 005"
"40170","Typography","TR","01:00 pm-03:30 pm","7","08/23-12/06","FR XARTS 005"
"40171","African Art","MW","04:45 pm-06:25 pm","23","08/23-12/07","LM 351"
"40172","Art of the Americas","TR","09:55 am-11:40 am","20","08/23-12/06","LM 245"
"42061","Painting I","F","02:00 pm-07:00 pm","12","08/23-12/02","FR XARTS 008"
"42064","Sculpture I (Art Dept. only)","MW","11:45 am-02:30 pm","13","08/23-12/07","FR XARTS 001"
"42070","Ceramics I (Art Dept. only)","TR","08:45 am-11:30 am","9","08/23-12/06","FR XARTS 001"
"40174","Visual Communication II","MW","09:00 am-11:30 am","12","08/23-12/07","CO G25"
"40175","Visual Communication II","MW","11:45 am-02:15 pm","14","08/23-12/07","CO G25"
"40177","Visual Communication II","TR","09:00 am-11:30 am","15","08/23-12/06","CO G25"
"42076","Color Theory","TR","04:00 pm-06:45 pm","13","08/23-12/06","FR XARTS 008"
"40179","Photography and Modern Asia","TR","12:45 pm-02:30 pm","14","08/23-12/06","LM 357"
"40180","Design Activism","MW","09:00 am-11:00 am","10","08/23-12/07","FR XARTS 006"
"42107","Comics in the Margins","TR","01:00 pm-03:45 pm","12","08/23-12/06","FR XARTS 001"
"42108","Printmaking I","MW","08:45 am-11:30 am","12","08/23-12/07","FR XARTS 008"
"40181","Critical Brand/Package Design","TR","03:45 pm-06:15 pm","17","08/23-12/06","FR XARTS 005"
"40182","SpTp: Transform the Web","TR","01:00 pm-03:30 pm","12","08/23-12/06","CO G25"
"42109","SpTp: Art in the Environment","TR","01:00 pm-03:45 pm","7","08/23-12/06","FR XARTS 008"
"42834","Printmaking II","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42833","Painting III","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42844","Ceramics Critique","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42843","Ceramics Comparative Study","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"40183","Intern/Museum","M","06:30 pm-10:10 pm","3","08/23-12/05","LM 357"
"40184","Intern/Commercial Gallery","M","06:30 pm-10:10 pm","1","08/23-12/05","LM 357"
"40185","Intern/Arts Non-Profit","M","06:30 pm-10:10 pm","4","08/23-12/05","LM 357"
"40186","Professional Practice in Design","F","11:45 am-01:30 pm","11","08/23-12/02","FR XARTS 005"
"40187","Professional Practice in Design","F","01:45 pm-03:30 pm","11","08/23-12/02","FR XARTS 005"
"42110","Artist as Citizen","MW","11:45 am-02:30 pm","13","08/23-12/07","FR XARTS 008"
"40111","Research Methods","T","06:30 pm-09:30 pm","10","08/23-12/06","KA 211"
"40113","Asia Pac History &amp; Modernities","M","06:30 pm-09:30 pm","11","08/23-12/05","CO 417"
"40115","Asia Pacific Literature/Film","W","06:30 pm-09:30 pm","0","08/23-12/07","KA 263"
"40116","Society and Culture in the Contemporary Asia Pacific","T","06:30 pm-09:30 pm","7","08/23-12/06","CO 315"
"40117","Development Management in Asia","R","06:30 pm-09:30 pm","5","08/23-12/01","KA 263"
"42858","Asia Pacific Literature Film","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42859","Asia Pacific Literature Film","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42860","Asia Pacific Literature Film","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"41871","Culture and Mental Health","R","12:45 pm-03:30 pm","20","08/23-12/01","CO 317"
"41872","Human Development","T","08:00 am-10:45 am","21","08/23-12/06","CO 212"
"41873","Clinical Dissertation Proposal Seminar","T","12:45 pm-02:30 pm","6","08/23-12/06","MA 227"
"42620","Clinical Dissertation Proposal Seminar","R","12:45 pm-02:30 pm","4","08/23-12/01","CO 417"
"41878","Clinical Dissertation Proposal Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","3","08/23-12/07","<abbr title=""To Be Announced"">TBA</abbr>"
"42622","Clinical Dissertation Proposal Seminar","T","12:30 pm-01:30 pm","3","08/23-12/06","LM 351C"
"41879","Socialization to Clinical Psychology Seminar","T","12:45 pm-02:30 pm","21","08/23-08/30","CO 317"
"42441","Intellectual Assessment","R","09:00 am-11:45 am","9","08/23-12/01","ED 010"
"42442","Intellectual Assessment","R","09:00 am-11:45 am","12","08/23-12/01","LM 355"
"42572","Clinical Dissertation Prep","T","12:45 pm-03:30 pm","12","08/23-12/06","CO 212"
"42571","Clinical Dissertation Prep","T","12:45 pm-03:30 pm","11","08/23-12/06","CO 419"
"41882","Practicum 2A","T","08:00 am-10:45 am","8","08/23-12/06","CO 419"
"41883","Practicum 2A","T","08:00 am-10:45 am","7","08/23-12/06","LM 357C"
"42573","Practicum 2A","T","08:00 am-10:45 am","7","08/23-12/06","KA "
"41884","Statistics for the Social Sciences","R","08:00 am-10:45 am","20","08/23-12/01","MH 102"
"41885","Professional Ethics, Laws,  and Standards","T","02:45 pm-04:25 pm","21","08/23-12/06","ED 104"
"41886","Quantitative Methods in Research Design","T","03:45 pm-06:25 pm","22","08/23-12/06","MA 123"
"41887","Evidence Based Practice I: Humanistic, Psychodynamic, Interpersonal Psychotherapy","R","12:45 pm-03:30 pm","21","08/23-12/01","MA 226"
"41888","Cognitive and Affective Bases of Behavior","T","04:00 pm-06:45 pm","12","08/23-12/06","ED 309"
"42611","Evidence-Based Practice III: Relationships and Families","T","08:00 am-10:45 am","11","08/23-12/06","KA 263"
"41889","Evidence Based Practice IV: Groups","R","03:45 pm-06:30 pm","12","08/25-08/25","LM 147"
"42729","Practicum 3A","R","08:00 am-10:45 am","6","08/25-08/25","CO 419"
"42730","Practicum 3A","R","08:00 am-10:45 am","6","08/25-08/25","ED 104"
"41892","Theory and Practice of Clinical Supervision","T","05:00 pm-06:45 pm","13","08/23-12/06","CO 212"
"41893","Practicum 4A","T","08:00 am-10:45 am","6","08/23-12/06","LM 351C"
"41894","Practicum 4A","T","08:00 am-10:45 am","6","08/23-12/06","MA 227"
"41897","Clinical Dissertation Seminar","T","12:45 pm-02:30 pm","3","08/23-12/15","LM 343"
"41898","Clinical Dissertation Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","2","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"42616","Clinical Dissertation Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","5","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"41904","Clinical Dissertation Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","3","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"42617","Clinical Dissertation Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","4","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"42618","Clinical Dissertation Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","8","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"42760","Clinical Dissertation Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","3","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"41905","Full-Time Clinical Internship","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","15","08/23-12/07","<abbr title=""To Be Announced"">TBA</abbr>"
"42240","Human Biology","T","10:25 am-11:40 am","14","08/23-12/06","LM 355"
"42241","Human Biology Lab","R","08:00 am-10:15 am","14","08/23-12/01","LS G04"
"40205","General Biology I","MWF","08:00 am-08:50 am","38","08/23-12/07","HR G56"
"40206","General Biology I","MWF","09:15 am-10:05 am","35","08/23-12/07","HR G56"
"40208","General Biology I","MWF","10:30 am-11:20 am","36","08/23-12/07","CO 107"
"40209","General Biology I","MWF","11:45 am-12:35 pm","38","08/23-12/07","CO 106"
"40210","General Biology I","MWF","01:00 pm-01:50 pm","38","08/23-12/07","CO 106"
"42587","General Biology I","MWF","09:15 am-10:05 am","38","08/23-12/07","CO 417"
"42586","General Biology I","MWF","02:15 pm-03:05 pm","36","08/23-12/07","HR G56"
"40272","General Biology I Lab","M","02:00 pm-04:50 pm","19","08/23-12/05","LS 208"
"40273","General Biology I Lab","M","05:00 pm-07:50 pm","21","08/23-12/05","LS 208"
"40274","General Biology I Lab","T","08:00 am-10:50 am","21","08/23-12/06","LS 208"
"40275","General Biology I Lab","T","11:00 am-01:50 pm","21","08/23-12/06","LS 208"
"40276","General Biology I Lab","T","02:00 pm-04:50 pm","18","08/23-12/06","LS 208"
"40277","General Biology I Lab","T","05:00 pm-07:50 pm","21","08/23-12/06","LS 208"
"40279","General Biology I Lab","W","11:00 am-01:50 pm","21","08/23-12/07","LS 208"
"40280","General Biology I Lab","W","02:00 pm-04:50 pm","20","08/23-12/07","LS 208"
"40281","General Biology I Lab","W","05:00 pm-07:50 pm","21","08/23-12/07","LS 208"
"40282","General Biology I Lab","R","08:00 am-10:50 am","21","08/23-12/01","LS 208"
"40283","General Biology I Lab","R","11:00 am-01:50 pm","21","08/23-12/01","LS 208"
"40284","General Biology I Lab","R","02:00 pm-04:50 pm","21","08/23-12/01","LS 208"
"42371","General Biology I Lab","M","11:00 am-01:50 pm","13","08/23-12/05","LS 208"
"40211","General Biology II","MWF","11:45 am-12:35 pm","15","08/23-12/07","ED 203"
"40212","General Biology II Lab","T","09:00 am-11:50 am","15","08/23-12/06","LS G04"
"40213","Human Anatomy","MWF","10:30 am-11:20 am","39","08/23-12/07","CO 314"
"40214","Human Anatomy","MWF","11:45 am-12:35 pm","40","08/23-12/07","CO 316"
"42613","Human Anatomy","MWF","09:15 am-10:05 am","36","08/23-12/07","KA 163"
"40215","Human Anatomy Lab","T","08:00 am-09:50 am","20","08/23-12/06","HR 264"
"40216","Human Anatomy Lab","T","10:00 am-11:50 am","20","08/23-12/06","HR 264"
"40217","Human Anatomy Lab","T","12:00 pm-01:50 pm","20","08/23-12/06","HR 264"
"40218","Human Anatomy Lab","T","02:00 pm-03:50 pm","20","08/23-12/06","HR 264"
"40219","Human Anatomy Lab","T","04:00 pm-05:50 pm","20","08/23-12/06","HR 264"
"42634","Human Anatomy Lab","T","06:00 pm-07:50 pm","15","08/23-12/06","HR 264"
"40220","Human Physiology","MWF","09:15 am-10:05 am","36","08/23-12/07","CO 107"
"42362","Human Physiology","MWF","10:30 am-11:20 am","36","08/23-12/07","CO 417"
"42588","Human Physiology","MWF","11:45 am-12:35 pm","29","08/23-12/07","CO 107"
"40222","Laboratory in Survey of Human Physiology","R","08:00 am-09:50 am","21","08/23-12/01","HR 264"
"40223","Laboratory in Survey of Human Physiology","R","10:00 am-11:50 am","20","08/23-12/01","HR 264"
"40224","Laboratory in Survey of Human Physiology","R","12:00 pm-01:50 pm","20","08/23-12/01","HR 264"
"40225","Laboratory in Survey of Human Physiology","R","02:00 pm-03:50 pm","20","08/23-12/01","HR 264"
"42363","Laboratory in Survey of Human Physiology","R","04:00 pm-05:50 pm","20","08/23-12/01","HR 264"
"40227","Microbiology","MWF","08:00 am-08:50 am","43","08/23-12/07","HR 136"
"40228","Microbiology Lab","T","11:00 am-01:50 pm","14","08/23-12/06","HR 230"
"40229","Microbiology Lab","T","02:00 pm-04:50 pm","15","08/23-12/06","HR 230"
"40230","Microbiology Lab","W","11:45 am-02:35 pm","14","08/23-12/07","HR 230"
"40232","Cell Physiology","TR","09:55 am-11:40 am","47","08/23-12/06","HR 136"
"40233","Cell Physiology","MWF","09:15 am-10:20 am","38","08/23-12/07","ED 101"
"40234","Genetics","MWF","11:45 am-12:35 pm","17","08/23-12/07","LS 103"
"40235","Genetics Lab","W","01:00 pm-03:50 pm","17","08/23-12/07","HR 264"
"40236","Interdiscp Life Sciences","MWF","02:15 pm-03:20 pm","9","08/23-12/07","LS 303"
"40237","Laboratory","MF","12:30 pm-02:00 pm","9","08/23-12/05","HR 323"
"40238","Ecology","MWF","09:15 am-10:20 am","18","08/23-12/07","LS 303"
"40239","Ornithology","MW","08:00 am-09:15 am","14","08/23-12/07","HR 243"
"40240","Ornithology Lab","W","09:20 am-12:10 pm","14","08/23-12/07","HR 243"
"40241","Virology","TR","08:00 am-09:45 am","19","08/23-12/06","HR 430"
"40242","General Microbiology","MWF","11:45 am-12:35 pm","14","08/23-12/07","LS G04"
"40243","Laboratory in General Microbiology","W","01:00 pm-03:50 pm","14","08/23-12/07","LS G04"
"40244","Comparative Animal Physiology","MWF","10:30 am-11:20 am","11","08/23-12/07","LS 303"
"40245","Comparative Animal Physio Lab","W","01:00 pm-03:50 pm","11","08/23-12/07","LS 205"
"40246","Developmental Biology","TR","09:55 am-11:10 am","14","08/23-12/06","LM 345"
"40247","Developmental Biology Lab","T","02:40 pm-05:30 pm","14","08/23-12/06","LS G04"
"42246","Plant Biology","T","03:45 pm-05:00 pm","14","08/23-12/06","LS G06"
"42247","Plant Biology Lab","R","12:45 pm-03:35 pm","14","08/23-12/01","LS G04"
"40249","Biology of Cancer","TR","02:40 pm-04:25 pm","19","08/23-12/06","LS 209"
"40250","Conservation Biology","TR","12:45 pm-02:00 pm","14","08/23-12/06","LM 352"
"40251","Conservation Biology Lab","T","02:10 pm-05:00 pm","14","08/23-12/06","HR 243"
"40252","Biology of Insects","TR","08:00 am-09:15 am","13","08/23-12/06","HR 243"
"40253","Biology of Insects Lab","R","09:25 am-12:15 pm","13","08/23-12/01","HR 243"
"40254","General Parasitology","MWF","11:45 am-12:35 pm","13","08/23-12/07","ED 201"
"40255","General Parasitology Lab","M","01:00 pm-03:50 pm","13","08/23-12/05","HR 264"
"40256","Oceanography","MW","01:00 pm-02:15 pm","12","08/23-12/07","HR 243"
"40257","Oceanography Lab","W","02:25 pm-06:00 pm","12","08/23-12/07","HR 243"
"40260","Molecular Medicine","MW","04:45 pm-06:25 pm","14","08/23-12/07","LS 103"
"40261","Evolution","TR","09:55 am-11:40 am","13","08/23-12/06","LM 354"
"40262","Evolution","TR","12:45 pm-02:30 pm","16","08/23-12/06","HR 435"
"40264","Bioinformatics","MW","06:30 pm-07:45 pm","14","08/23-12/07","CO 315"
"40265","Bioinformatics Lab","T","06:30 pm-09:20 pm","14","08/23-12/06","LS 205"
"40266","Immunology","TR","09:55 am-11:10 am","14","08/23-12/06","LS 205"
"40267","Immunology Laboratory","T","02:40 pm-05:30 pm","14","08/23-12/06","LS 205"
"40268","Undergraduate Seminar in Biology","T","11:45 am-12:40 pm","36","08/23-12/06","HR G56"
"42685","Thesis Research Honors","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/07","TBA "
"42719","Biology Honors Research","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/07","TBA "
"42828","Thesis Research Honors","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42829","Thesis Research Honors","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"40269","Graduate Seminar in Biology","T","11:45 am-12:40 pm","6","08/23-12/06","HR G56"
"40270","Molecular Medicine","MW","04:45 pm-06:25 pm","5","08/23-12/07","LS 103"
"42757","General Microbiology","MWF","11:45 am-12:35 pm","1","08/23-12/15","LS G03"
"42758","General Microbiology Lab","W","01:00 pm-03:50 pm","1","08/23-12/15","LS G04"
"42345","Biology of Cancer","TR","02:40 pm-04:25 pm","2","08/23-12/06","LS 209"
"42274","SpTp: Interdiscp Life Sciences","MWF","02:15 pm-03:20 pm","1","08/23-12/07","LS 303"
"42275","Special Topics Lab","MF","12:30 pm-02:00 pm","1","08/23-12/05","HR 323"
"42794","Directed Reading Mol Endo","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42795","Directed Reading Mol Endo","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42797","Dir Reading in Host Path","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42836","Dir Reading in Ecology","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42839","Directed Reading","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42374","Animal Behavior Research","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/07","TBA "
"42796","Directed Research","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42837","Directed Research on Plants","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42838","Directed Research","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42677","Thesis Writing","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/07","TBA TBA"
"40286","Career Preparation Seminar","T","04:35 pm-05:50 pm","29","08/23-12/06","CO 315"
"40287","Global &amp; US Regulatory Affairs","T","06:30 pm-10:10 pm","15","08/22-10/14","LS 103"
"40288","Global &amp; US Regulatory Affairs","R","06:30 pm-10:10 pm","14","08/22-10/14","LS 103"
"40289","Legal-Social-Ethical Biotech","T","06:30 pm-10:10 pm","15","10/17-12/07","LS 103"
"40290","Legal-Social-Ethical Biotech","R","06:30 pm-10:10 pm","15","10/17-12/07","LS 103"
"40291","Molecular Biology","MW","04:45 pm-06:25 pm","19","08/23-12/07","LS 303"
"40292","Bioinformatics","MW","04:45 pm-06:25 pm","29","08/23-12/07","HR 435"
"40293","Adv. Research Meth in Biotech","MW","06:45 pm-07:59 pm","14","08/23-12/07","LS 205"
"40294","Adv. Research Meth in Biotech","MW","06:45 pm-07:59 pm","13","08/23-12/07","LS G04"
"40295","Adv Res Meth in Biotech Lab","MW","08:00 pm-10:30 pm","14","08/23-12/07","LS 205"
"40296","Adv Res Meth in Biotech Lab","MW","08:00 pm-10:30 pm","13","08/23-12/07","LS G04"
"42718","Dir Research Biotech","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/07","TBA "
"42747","Dir Research Biotech","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42748","Dir Research Biotech","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42749","Dir Research Biotech","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42750","Dir Research Biotech","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"42832","Internship in Biotech","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"41938","Launch into Business","M","04:45 pm-06:25 pm","29","08/23-12/05","CO 413"
